Date,GHI_daily_mean,DNI_daily_mean,DHI_daily_mean
2021-10-25,216.98443363446836,112.29659485753994,139.75983321751215
2021-10-26,261.6253472222222,242.01055555555556,98.65777777777778
2021-10-27,255.39013888888888,221.79222222222222,100.25138888888888
2021-10-28,248.9145138888889,220.96826388888888,104.53833333333334
2021-10-29,265.27451388888886,274.3420138888889,79.68833333333333
2021-10-30,256.2807505211953,238.35205003474633,92.25364836692147
2021-10-31,223.49041666666668,158.89458333333334,110.82222222222222
2021-11-01,217.15819444444443,147.63409722222224,120.35909722222223
2021-11-02,254.05666666666664,240.1426388888889,88.634375
2021-11-03,257.03756944444444,228.63597222222222,97.69722222222222
2021-11-04,253.59111111111113,232.3109722222222,91.64444444444445
2021-11-05,240.16152777777776,213.69340277777778,84.63875
2021-11-06,227.18923611111111,135.36590277777776,145.31229166666668
2021-11-07,257.84770833333334,277.42284722222223,67.97687499999999
2021-11-08,253.97222222222223,272.8551388888889,67.40201388888889
2021-11-09,243.0971527777778,223.52034722222223,87.50534722222223
2021-11-10,247.64791666666667,251.9298611111111,73.21145833333334
2021-11-11,220.6965277777778,191.59277777777777,81.19993055555555
2021-11-12,248.3020138888889,234.42631944444446,80.62402777777778
2021-11-13,255.8972222222222,306.64694444444444,54.17333333333334
2021-11-14,235.6142361111111,237.00701388888888,74.17048611111112
2021-11-15,188.021875,93.36340277777776,128.18027777777777
2021-11-16,243.4002777777778,234.18701388888888,79.75680555555556
2021-11-17,251.57368055555554,290.68395833333335,56.379999999999995
2021-11-18,251.16909722222223,283.32444444444445,60.25819444444445
2021-11-19,250.07381944444444,277.62569444444443,65.59673611111111
2021-11-20,258.59041666666667,305.7210416666667,57.39819444444444
2021-11-21,242.4265291607397,286.7112375533428,53.88926031294452
2021-11-22,250.2265277777778,292.33256944444446,59.17604166666667
2021-11-23,257.50501043841336,305.676617954071,59.70278357689631
2021-11-24,253.28118055555558,302.1922916666667,53.83819444444445
2021-11-25,247.31,284.3724305555555,53.80756944444444
2021-11-26,248.87708333333333,301.0213888888889,52.10666666666667
2021-11-27,249.7072272411397,302.442807505212,55.56580958999305
2021-11-28,164.76158146964858,234.45878594249203,37.51517571884984
2021-11-29,241.08673611111112,272.02319444444447,64.48798611111111
2021-11-30,238.97895833333334,237.2704861111111,84.315
2021-12-01,239.4654861111111,250.36201388888887,69.66618055555556
2021-12-02,238.96027777777778,226.7327083333333,87.96375
2021-12-03,230.06458333333333,180.28854166666667,106.14701388888889
2021-12-04,225.45687500000003,119.42555555555555,138.12520833333332
2021-12-05,233.82569444444445,158.89166666666668,121.04229166666666
2021-12-06,229.4207638888889,201.35,90.38041666666666
2021-12-07,199.94694444444443,134.04326388888887,112.45805555555556
