Date,GHI_mean,GHI_max,DNI_mean,DNI_max,DHI_mean,DHI_max
2021-08-09,236.2768589298124,1349.0,84.5961084086171,813.0,164.66226546212647,702.6
2021-08-10,216.65395833333335,1222.0,119.74069444444444,825.0,115.36180555555555,569.5
2021-08-11,98.10895833333333,369.8,0.9725694444444445,46.0,97.08166666666668,337.9
2021-08-12,210.4309722222222,1360.0,104.38840277777777,838.0,140.32,676.1
2021-08-13,121.74166666666666,936.0,4.954583333333334,232.6,115.95,703.7
2021-08-14,252.9873611111111,1309.0,183.03041666666667,904.0,109.22701388888889,553.9
2021-08-15,257.8072916666667,1227.0,221.09083333333334,853.0,100.5025,622.0
2021-08-16,54.78402777777778,683.4,0.7481944444444445,87.8,53.81784722222222,594.1
2021-08-17,238.79097222222222,1413.0,122.45124999999999,903.0,131.78625,640.0
2021-08-18,190.0342361111111,1268.0,72.53770833333334,803.0,121.05409722222223,593.0
2021-08-19,142.3545138888889,944.0,25.697430555555556,454.9,121.233125,643.7
2021-08-20,289.09041666666667,1080.0,212.34083333333334,674.3,117.83861111111112,501.5
2021-08-21,258.54006944444444,1099.0,158.55756944444445,687.3,135.71729166666665,523.1
2021-08-22,139.62604166666668,1045.0,44.51236111111111,644.2,117.26020833333334,715.7
2021-08-23,179.9779861111111,1394.0,25.364652777777778,819.0,158.94180555555556,641.8
2021-08-24,254.36770833333333,1238.0,192.98583333333332,809.0,98.4217361111111,474.1
2021-08-25,252.82770833333336,1157.0,140.76652777777778,886.0,124.59875000000001,512.3
2021-08-26,145.05666666666667,779.8,9.970833333333333,183.6,136.52381944444443,637.5
2021-08-27,95.56777777777778,623.0,5.174305555555556,175.7,92.89284722222223,551.6
2021-08-28,302.94083333333333,1028.0,295.00118055555555,864.0,69.24708333333334,395.0
2021-08-29,140.18368055555555,1323.0,12.068194444444446,630.5,130.26597222222222,692.6
2021-08-30,248.58847222222224,1221.0,128.0726388888889,832.0,134.09486111111113,593.9
2021-08-31,228.46194444444444,1189.0,112.93006944444444,765.4,142.89381944444446,663.5
2021-09-01,253.47881944444444,975.0,122.57131944444446,593.3,152.47944444444445,668.5
2021-09-02,191.13493055555554,950.0,28.33694444444444,418.9,169.13020833333334,679.0
2021-09-03,229.7329861111111,1051.0,83.87284722222222,500.7,158.87555555555554,645.6
2021-09-04,270.12666666666667,1063.0,160.78368055555555,613.5,138.5795138888889,485.2
2021-09-05,147.35555555555555,799.0,35.622569444444444,567.4,128.24736111111113,594.0
2021-09-06,292.1567361111111,1036.0,221.81993055555557,686.8,116.14562500000001,373.2
2021-09-07,78.66187500000001,579.8,2.331736111111111,67.8,76.04201388888889,510.7
2021-09-08,223.68118055555558,1279.0,90.683125,876.0,151.51284722222223,630.5
2021-09-09,289.13222222222225,1165.0,283.515,879.0,80.97506944444444,407.3
2021-09-10,167.67111111111112,1041.0,51.995416666666664,614.2,127.19555555555556,680.8
2021-09-11,262.75388888888887,1059.0,125.81791666666666,539.1,159.7432638888889,672.5
2021-09-12,251.6327083333333,1102.0,153.74465277777776,732.6,118.04916666666666,673.7
2021-09-13,89.44416666666667,923.0,8.674583333333333,501.1,81.14083333333333,572.2
2021-09-14,207.5488888888889,1278.0,74.17645833333334,689.9,152.23395833333333,664.0
2021-09-15,233.546875,1287.0,151.56284722222222,878.0,117.9938888888889,587.9
2021-09-16,221.81270833333332,1133.0,89.78326388888888,696.4,153.94993055555554,667.6
2021-09-17,217.28159722222222,1146.0,91.30493055555556,789.0,136.03340277777778,592.2
2021-09-18,284.35979166666664,1127.0,236.11368055555556,771.2,96.81541666666668,379.7
2021-09-19,276.988125,1066.0,171.4061111111111,695.3,129.14833333333334,416.4
2021-09-20,232.00034722222222,1111.0,116.98972222222223,536.9,139.63020833333334,666.4
2021-09-21,246.70680555555555,963.0,142.51618055555554,689.2,137.52902777777777,548.5
2021-09-22,89.62479166666667,859.0,18.08722222222222,680.8,82.40534722222222,714.0
2021-09-23,159.25118055555555,1210.0,39.253819444444446,788.3,126.52708333333334,593.0
2021-09-24,153.8636111111111,902.0,42.484375,589.2,133.58354166666666,599.4
2021-09-25,296.4350694444444,1000.0,283.36555555555555,798.1,81.44743055555556,231.7
2021-09-26,289.9153472222222,1095.0,262.45118055555554,768.9,91.95576388888888,409.0
2021-09-27,284.1838888888889,978.0,205.3047222222222,688.7,119.865625,349.4
2021-09-28,295.76631944444443,1014.0,273.56597222222223,801.0,87.23847222222221,264.4
2021-09-29,208.8279861111111,1105.0,137.94104166666668,734.1,96.99625,438.1
2021-09-30,241.5467361111111,1218.0,139.32020833333334,898.0,122.25493055555556,492.1
2021-10-01,215.81013888888887,965.0,77.01895833333333,509.4,148.3561111111111,532.7
2021-10-02,280.3417361111111,1032.0,247.87902777777776,786.6,87.30597222222222,303.9
2021-10-03,286.2848611111111,1021.0,275.2527083333334,803.0,76.11208333333333,260.7
2021-10-04,291.89493055555556,987.0,301.86333333333334,835.0,67.53034722222222,188.4
2021-10-05,271.2153472222222,943.0,220.63340277777777,683.5,104.16569444444445,319.6
2021-10-06,265.93041666666664,1004.0,175.58534722222223,644.4,127.36840277777777,402.9
2021-10-07,271.5904861111111,1025.0,191.06375,598.8,124.67881944444444,438.4
2021-10-08,265.1425,963.0,191.85090277777778,658.2,111.94097222222223,335.5
2021-10-09,260.4511111111111,967.0,189.28819444444446,678.4,114.37548611111112,380.4
2021-10-10,288.4197222222222,992.0,248.96618055555555,746.4,99.81840277777778,276.6
2021-10-11,276.5182638888889,1085.0,260.2061805555556,813.3,81.76236111111112,316.2
